"Current path","Type","Decision","Destination","Original remains here","Dependencies","Required changes for export/copy","History strategy","Reason","Priority"
"README.md","documentation","KEEP","ds-projects-portfolio","yes","project links and docs","Refresh later to reflect maintained portfolio groups","KEEP_CURRENT_HISTORY","Portfolio entry point stays here","HIGH"
"LICENSE","metadata","KEEP","ds-projects-portfolio","yes","none","Copy into exports as needed","KEEP_CURRENT_HISTORY","Root license remains","HIGH"
"CONTRIBUTING.md","documentation","KEEP","ds-projects-portfolio","yes","root setup","May simplify later after exports exist","KEEP_CURRENT_HISTORY","Contributor guidance still applies to portfolio repo","MEDIUM"
"CHANGELOG.md","metadata","KEEP","ds-projects-portfolio","yes","root history","Keep unless release process is redesigned","KEEP_CURRENT_HISTORY","Historical root metadata","LOW"
"CODEOWNERS","metadata","KEEP","ds-projects-portfolio","yes","GitHub ownership","Review only if repo ownership changes","KEEP_CURRENT_HISTORY","Do not remove without owner decision","LOW"
"TODO.md","documentation","KEEP","ds-projects-portfolio","yes","repo backlog","Triage later; do not copy wholesale to exports","KEEP_CURRENT_HISTORY","Backlog may still be useful","LOW"
"SPLIT_PLAN.md","documentation","ARCHIVE","archive / reference","yes","old split plan","Supersede with revised matrix; keep as historical context","KEEP_CURRENT_HISTORY","Old plan conflicts with keep-projects-here rule","LOW"
"pyproject.toml","packaging","KEEP","ds-projects-portfolio","yes","root src/tests","Simplify only after export strategy and root package policy are approved","KEEP_CURRENT_HISTORY","Root portfolio still uses Python tests/package assumptions","HIGH"
"setup.py","packaging","KEEP","ds-projects-portfolio","yes","requirements.txt","Avoid copying to exports; use destination pyprojects","KEEP_CURRENT_HISTORY","Obsolete but not removed in non-destructive phase","MEDIUM"
"setup.cfg","packaging","KEEP","ds-projects-portfolio","yes","lint config","Avoid copying to exports","KEEP_CURRENT_HISTORY","Do not delete without cleanup approval","LOW"
"pytest.ini","testing config","KEEP","ds-projects-portfolio","yes","root tests","Review once tests are split or copied","KEEP_CURRENT_HISTORY","Root tests still live here","HIGH"
