year,rent_index_2017,income_index_2017,lhdi,tourism_intensity,tourism_index_2019,listed_units,entire_home_units,listed_units_per_1000_residents,entire_home_per_1000_residents
2017,100.000000,100.000000,100.000000,22.712098,91.200396,,,,
2018,116.008316,112.950000,102.707672,23.741087,95.332300,,,,
2019,124.324324,116.666667,106.563707,24.903508,100.000000,,,,
2020,119.126819,116.833333,101.963041,6.343654,25.472935,,,,
2021,116.839917,121.650000,96.045965,8.487067,34.079804,,,,
2022,133.887734,126.066667,106.203914,20.886963,83.871570,,,,
2023,158.212058,129.975000,121.724992,23.123815,92.853647,,,,
2024,165.592516,135.650000,122.073362,23.664703,95.025580,24181.000000,17867.000000,36.354698,26.861974
2025,,,,24.252797,97.387072,,,,
2026,,,,,,24876.000000,18444.000000,,
