year,rent_eur_m2,income_eur,housing_stock,resident_population,overnight_stays,rent_income_ratio,lhdi,tourism_intensity,snapshot_date,listed_units,entire_home_units,private_room_units,shared_room_units,hotel_room_units,entire_home_share,entire_home_per_1000_dwellings,listed_units_per_1000_residents,entire_home_per_1000_residents
2017,9.62,12000.0,337662.0,552722.0,12553476.0,0.0008016666666666666,99.99999999999999,22.712097582509834,,,,,,,,,,
2018,11.16,13554.0,334723.0,555344.0,13184470.0,0.0008233731739707835,102.70767242878797,23.74108660577948,,,,,,,,,,
2019,11.96,14000.0,333132.0,561578.0,13985262.0,0.0008542857142857143,106.56370656370659,24.90350761603909,,,,,,,,,,
2020,11.46,14020.0,324052.0,548877.0,3481886.0,0.0008174037089871613,101.96304062209913,6.343654407089384,,,,,,,,,,
2021,11.24,14598.0,319905.0,605447.0,5138469.0,0.0007699684888340869,96.04596534312935,8.487066580559487,,,,,,,,,,
2022,12.88,15128.0,320176.0,638400.0,13334237.0,0.0008514013749338974,106.20391371316808,20.886962719298246,,,,,,,,,,
2023,15.22,15597.0,,655542.0,15158632.0,0.0009758286850035263,121.72499189233179,23.123815102617375,,,,,,,,,,
2024,15.93,16278.0,,665141.0,15740364.0,0.0009786214522668633,122.07336202913058,23.664702672065022,2024-12-14,24181.0,17867.0,5806.0,287.0,221.0,0.7388859021545842,,36.35469772574537,26.861973626644577
2025,,,,658236.0,15964064.0,,,24.252796869208005,,,,,,,,,,
2026,,,,,,,,,2026-06-23,24876.0,18444.0,6131.0,148.0,153.0,0.7414375301495417,,,
