year,rent_eur_m2_old,rent_eur_m2_current,measure,old_indicator,current_indicator,absolute_difference,relative_difference,income_eur_old,income_eur_current,housing_stock_old,housing_stock_current,resident_population_old,resident_population_current,overnight_stays_old,overnight_stays_current
2020,11.46,11.46,rent,0009631,0012600,0.0,0.0,,,,,,,,
2021,11.24,11.24,rent,0009631,0012600,0.0,0.0,,,,,,,,
2022,12.88,12.88,rent,0009631,0012600,0.0,0.0,,,,,,,,
2023,15.22,15.22,rent,0009631,0012600,0.0,0.0,,,,,,,,
2018,,,income,0009934,0012749,0.0,0.0,13554.0,13554.0,,,,,,
2019,,,income,0009934,0012749,0.0,0.0,14000.0,14000.0,,,,,,
2020,,,income,0009934,0012749,0.0,0.0,14020.0,14020.0,,,,,,
2021,,,income,0009934,0012749,0.0,0.0,14598.0,14598.0,,,,,,
2022,,,housing_stock,0008329,0014137,0.0,0.0,,,320176.0,320176.0,,,,
2021,,,population,0008272,0012917,0.0,0.0,,,,,605447.0,605447.0,,
2022,,,population,0008272,0012917,0.0,0.0,,,,,638400.0,638400.0,,
2023,,,population,0008272,0012917,0.0,0.0,,,,,655542.0,655542.0,,
2022,,,overnight_stays,0009877,0013214,0.0,0.0,,,,,,,13334237.0,13334237.0
2023,,,overnight_stays,0009877,0013214,0.0,0.0,,,,,,,15158632.0,15158632.0
2024,,,overnight_stays,0009877,0013214,0.0,0.0,,,,,,,15740364.0,15740364.0
2025,,,overnight_stays,0009877,0013214,0.0,0.0,,,,,,,15964064.0,15964064.0
